sample_name,library,Breed
HGDP00918,short,HUMAN
HGDP01412,short,HUMAN
HGDP00987,short,HUMAN
Ayodo_81S,short,HUMAN
HGDP00470,short,HUMAN
HGDP01081,short,HUMAN
HGDP01201,short,HUMAN
HGDP00463,short,HUMAN
HGDP01283,short,HUMAN
HGDP00473,short,HUMAN
HGDP01031,short,HUMAN
HGDP01035,short,HUMAN
HGDP00994,short,HUMAN
HGDP00468,short,HUMAN
HGDP01406,short,HUMAN
HGDP00461,short,HUMAN
HGDP00943,short,HUMAN
HGDP01200,short,HUMAN
HGDP00930,short,HUMAN
HGDP00991,short,HUMAN
HGDP00914,short,HUMAN
HGDP00457,short,HUMAN
HGDP01414,short,HUMAN
HGDP00472,short,HUMAN
HGDP00934,short,HUMAN
HGDP00929,short,HUMAN
HGDP00906,short,HUMAN
HGDP00905,short,HUMAN
HGDP01285,short,HUMAN
HGDP01092,short,HUMAN
HGDP00460,short,HUMAN
HGDP00982,short,HUMAN
HGDP01029,short,HUMAN
HGDP00936,short,HUMAN
HGDP01418,short,HUMAN
HGDP01417,short,HUMAN
HGDP00475,short,HUMAN
Ayodo_502C,short,HUMAN
Ayodo_430C,short,HUMAN
DNK07,short,HUMAN
HGDP00926,short,HUMAN
NA21581,short,HUMAN
HGDP00464,short,HUMAN
HGDP00912,short,HUMAN
HGDP01028,short,HUMAN
HGDP01094,short,HUMAN
NA21490,short,HUMAN
HGDP00915,short,HUMAN
HGDP00935,short,HUMAN
HGDP00985,short,HUMAN
HGDP00467,short,HUMAN
HGDP01036,short,HUMAN
HGDP00911,short,HUMAN
HGDP00453,short,HUMAN
HGDP00466,short,HUMAN
HGDP01415,short,HUMAN
HGDP00454,short,HUMAN
HGDP00449,short,HUMAN
HGDP00925,short,HUMAN
HGDP00919,short,HUMAN
HGDP00455,short,HUMAN
HGDP01202,short,HUMAN
HGDP00621,short,HUMAN
HGDP00476,short,HUMAN
HGDP01087,short,HUMAN
HGDP00983,short,HUMAN
HGDP01413,short,HUMAN
HGDP01405,short,HUMAN
NA19044,short,HUMAN
HGDP00913,short,HUMAN
HGDP01199,short,HUMAN
HG03100,short,HUMAN
HGDP01408,short,HUMAN
HGDP00933,short,HUMAN
HGDP00938,short,HUMAN
HGDP00907,short,HUMAN
HGDP00908,short,HUMAN
HGDP00928,short,HUMAN
HGDP00920,short,HUMAN
HGDP01030,short,HUMAN
HGDP00941,short,HUMAN
HGDP00459,short,HUMAN
DNK11,short,HUMAN
HGDP00904,short,HUMAN
HGDP00916,short,HUMAN
HGDP00474,short,HUMAN
DNK05,short,HUMAN
HGDP00479,short,HUMAN
HGDP01270,short,HUMAN
HGDP01286,short,HUMAN
HGDP00910,short,HUMAN
HGDP00924,short,HUMAN
HGDP01411,short,HUMAN
HGDP00984,short,HUMAN
HGDP00931,short,HUMAN
HGDP00478,short,HUMAN
HGDP00932,short,HUMAN
HGDP00450,short,HUMAN
HGDP00909,short,HUMAN
HGDP00452,short,HUMAN
HGDP01419,short,HUMAN
HGDP00469,short,HUMAN
SA0722,short,HUMAN
HGDP00981,short,HUMAN
HGDP00986,short,HUMAN
HGDP01416,short,HUMAN
HGDP00462,short,HUMAN
HGDP00992,short,HUMAN
HGDP01086,short,HUMAN
HGDP00937,short,HUMAN
HGDP00465,short,HUMAN
HGDP00458,short,HUMAN
SA0342,short,HUMAN
HGDP00944,short,HUMAN
HGDP01033,short,HUMAN
HGDP01034,short,HUMAN
HGDP00471,short,HUMAN
HGDP00942,short,HUMAN
HGDP00993,short,HUMAN
HGDP01090,short,HUMAN
HGDP00940,short,HUMAN
HG02943,short,HUMAN
HGDP00917,short,HUMAN
HGDP00939,short,HUMAN
HGDP01032,short,HUMAN
