sample_name,library,Breed
HG02879,short,HUMAN
HG02464,short,HUMAN
HG02573,short,HUMAN
HG02589,short,HUMAN
HG02620,short,HUMAN
HG02623,short,HUMAN
HG02643,short,HUMAN
HG02679,short,HUMAN
HG02610,short,HUMAN
HG02769,short,HUMAN
HG02804,short,HUMAN
HG02805,short,HUMAN
HG02839,short,HUMAN
HG02888,short,HUMAN
HG02896,short,HUMAN
HG03045,short,HUMAN
HG02756,short,HUMAN
HG02816,short,HUMAN
HG02861,short,HUMAN
HG02759,short,HUMAN
HG02882,short,HUMAN
HG03241,short,HUMAN
HG02854,short,HUMAN
HG02568,short,HUMAN
HG02881,short,HUMAN
HG02561,short,HUMAN
HG02582,short,HUMAN
HG02585,short,HUMAN
HG02595,short,HUMAN
HG02628,short,HUMAN
HG02666,short,HUMAN
HG02703,short,HUMAN
HG02634,short,HUMAN
HG02772,short,HUMAN
HG02465,short,HUMAN
HG02808,short,HUMAN
HG02811,short,HUMAN
HG02851,short,HUMAN
HG03028,short,HUMAN
HG03048,short,HUMAN
HG02574,short,HUMAN
HG02583,short,HUMAN
HG02594,short,HUMAN
HG02624,short,HUMAN
HG02645,short,HUMAN
HG03049,short,HUMAN
HG02836,short,HUMAN
HG02885,short,HUMAN
HG02891,short,HUMAN
HG02646,short,HUMAN
HG02702,short,HUMAN
HG02611,short,HUMAN
HG02771,short,HUMAN
HG02807,short,HUMAN
HG02840,short,HUMAN
HG02895,short,HUMAN
HG03027,short,HUMAN
HG03046,short,HUMAN
HG03024,short,HUMAN
HG03247,short,HUMAN
HG03539,short,HUMAN
HG02817,short,HUMAN
HG02884,short,HUMAN
HG03246,short,HUMAN
HG02855,short,HUMAN
HG02760,short,HUMAN
HG02870,short,HUMAN
HG02982,short,HUMAN
HG02763,short,HUMAN
HG02878,short,HUMAN
HG02983,short,HUMAN
HG02461,short,HUMAN
HG02562,short,HUMAN
HG02586,short,HUMAN
HG02613,short,HUMAN
HG02629,short,HUMAN
HG02667,short,HUMAN
HG02676,short,HUMAN
HG02721,short,HUMAN
HG02635,short,HUMAN
HG02716,short,HUMAN
HG02798,short,HUMAN
HG02462,short,HUMAN
HG02570,short,HUMAN
HG02810,short,HUMAN
HG02813,short,HUMAN
HG02852,short,HUMAN
HG03039,short,HUMAN
HG02571,short,HUMAN
HG02588,short,HUMAN
HG02614,short,HUMAN
HG02621,short,HUMAN
HG02642,short,HUMAN
HG03258,short,HUMAN
HG02837,short,HUMAN
HG02890,short,HUMAN
HG02675,short,HUMAN
HG02678,short,HUMAN
HG02722,short,HUMAN
HG02715,short,HUMAN
HG02768,short,HUMAN
HG02799,short,HUMAN
HG02814,short,HUMAN
HG02887,short,HUMAN
HG03040,short,HUMAN
HG03025,short,HUMAN
HG03538,short,HUMAN
HG02819,short,HUMAN
HG03259,short,HUMAN
HG02757,short,HUMAN
HG02860,short,HUMAN
HG03240,short,HUMAN
HG02820,short,HUMAN
NA19024,short,HUMAN
NA19035,short,HUMAN
NA19042,short,HUMAN
NA19309,short,HUMAN
NA19312,short,HUMAN
NA19318,short,HUMAN
NA19328,short,HUMAN
NA19347,short,HUMAN
NA19372,short,HUMAN
NA19375,short,HUMAN
NA19380,short,HUMAN
NA19394,short,HUMAN
NA19428,short,HUMAN
NA19435,short,HUMAN
NA19437,short,HUMAN
NA19445,short,HUMAN
NA19448,short,HUMAN
NA19455,short,HUMAN
NA19467,short,HUMAN
NA19474,short,HUMAN
NA19019,short,HUMAN
NA19026,short,HUMAN
NA19028,short,HUMAN
NA19037,short,HUMAN
NA19315,short,HUMAN
NA19320,short,HUMAN
NA19323,short,HUMAN
NA19334,short,HUMAN
NA19351,short,HUMAN
NA19377,short,HUMAN
NA19384,short,HUMAN
NA19397,short,HUMAN
NA19401,short,HUMAN
NA19430,short,HUMAN
NA19439,short,HUMAN
NA19451,short,HUMAN
NA19457,short,HUMAN
NA19462,short,HUMAN
NA19471,short,HUMAN
NA19017,short,HUMAN
NA19025,short,HUMAN
NA19314,short,HUMAN
NA19319,short,HUMAN
NA19331,short,HUMAN
NA19350,short,HUMAN
NA19374,short,HUMAN
NA19376,short,HUMAN
NA19383,short,HUMAN
NA19395,short,HUMAN
NA19429,short,HUMAN
NA19436,short,HUMAN
NA19438,short,HUMAN
NA19446,short,HUMAN
NA19449,short,HUMAN
NA19456,short,HUMAN
NA19468,short,HUMAN
NA19475,short,HUMAN
NA19020,short,HUMAN
NA19027,short,HUMAN
NA19030,short,HUMAN
NA19038,short,HUMAN
NA19307,short,HUMAN
NA19316,short,HUMAN
NA19321,short,HUMAN
NA19324,short,HUMAN
NA19332,short,HUMAN
NA19338,short,HUMAN
NA19355,short,HUMAN
NA19378,short,HUMAN
NA19385,short,HUMAN
NA19391,short,HUMAN
NA19399,short,HUMAN
NA19403,short,HUMAN
NA19431,short,HUMAN
NA19440,short,HUMAN
NA19452,short,HUMAN
NA19461,short,HUMAN
NA19463,short,HUMAN
NA19472,short,HUMAN
NA19023,short,HUMAN
NA19031,short,HUMAN
NA19041,short,HUMAN
NA19043,short,HUMAN
NA19308,short,HUMAN
NA19310,short,HUMAN
NA19317,short,HUMAN
NA19327,short,HUMAN
NA19346,short,HUMAN
NA19360,short,HUMAN
NA19379,short,HUMAN
NA19390,short,HUMAN
NA19393,short,HUMAN
NA19404,short,HUMAN
NA19443,short,HUMAN
NA19454,short,HUMAN
NA19466,short,HUMAN
NA19473,short,HUMAN
NA19434,short,HUMAN
NA19036,short,HUMAN
HG03055,short,HUMAN
HG03401,short,HUMAN
HG03445,short,HUMAN
HG03479,short,HUMAN
HG03069,short,HUMAN
HG03437,short,HUMAN
HG03485,short,HUMAN
HG03548,short,HUMAN
HG03559,short,HUMAN
HG03578,short,HUMAN
HG03054,short,HUMAN
HG03095,short,HUMAN
HG03394,short,HUMAN
HG03457,short,HUMAN
HG03380,short,HUMAN
HG03061,short,HUMAN
HG03433,short,HUMAN
HG03460,short,HUMAN
HG03458,short,HUMAN
HG03557,short,HUMAN
HG03565,short,HUMAN
HG03572,short,HUMAN
