sample_name,library,Breed
HG01254,short,HUMAN
HG01275,short,HUMAN
HG01348,short,HUMAN
HG01378,short,HUMAN
HG01353,short,HUMAN
HG01366,short,HUMAN
HG01375,short,HUMAN
HG01440,short,HUMAN
HG01455,short,HUMAN
HG01465,short,HUMAN
HG01489,short,HUMAN
HG01497,short,HUMAN
HG01251,short,HUMAN
HG01122,short,HUMAN
HG01280,short,HUMAN
HG01431,short,HUMAN
HG01447,short,HUMAN
HG01257,short,HUMAN
HG01357,short,HUMAN
HG01384,short,HUMAN
HG01342,short,HUMAN
HG01459,short,HUMAN
HG01359,short,HUMAN
HG01474,short,HUMAN
HG01390,short,HUMAN
HG01461,short,HUMAN
HG01492,short,HUMAN
HG01250,short,HUMAN
HG01124,short,HUMAN
HG01137,short,HUMAN
HG01140,short,HUMAN
HG01256,short,HUMAN
HG01277,short,HUMAN
HG01356,short,HUMAN
HG01383,short,HUMAN
HG01341,short,HUMAN
HG01354,short,HUMAN
HG01389,short,HUMAN
HG01441,short,HUMAN
HG01456,short,HUMAN
HG01491,short,HUMAN
HG01498,short,HUMAN
HG01131,short,HUMAN
HG01284,short,HUMAN
HG01363,short,HUMAN
HG01435,short,HUMAN
HG01485,short,HUMAN
HG01133,short,HUMAN
HG01149,short,HUMAN
HG01130,short,HUMAN
HG01281,short,HUMAN
HG01362,short,HUMAN
HG01432,short,HUMAN
HG01468,short,HUMAN
HG01479,short,HUMAN
HG01125,short,HUMAN
HG01139,short,HUMAN
HG01148,short,HUMAN
HG01253,short,HUMAN
HG01259,short,HUMAN
HG01271,short,HUMAN
HG01344,short,HUMAN
HG01350,short,HUMAN
HG01360,short,HUMAN
HG01437,short,HUMAN
HG01462,short,HUMAN
HG01494,short,HUMAN
HG01550,short,HUMAN
HG01260,short,HUMAN
HG01272,short,HUMAN
HG01345,short,HUMAN
HG01377,short,HUMAN
HG01351,short,HUMAN
HG01365,short,HUMAN
HG01374,short,HUMAN
HG01438,short,HUMAN
HG01464,short,HUMAN
HG01488,short,HUMAN
HG01495,short,HUMAN
HG01551,short,HUMAN
HG01119,short,HUMAN
HG01142,short,HUMAN
HG01369,short,HUMAN
HG01443,short,HUMAN
HG01486,short,HUMAN
HG01112,short,HUMAN
HG01134,short,HUMAN
HG01121,short,HUMAN
HG01269,short,HUMAN
HG01372,short,HUMAN
HG01444,short,HUMAN
HG01556,short,HUMAN
HG01113,short,HUMAN
HG01136,short,HUMAN
NA19649,short,HUMAN
NA19655,short,HUMAN
NA19657,short,HUMAN
NA19669,short,HUMAN
NA19684,short,HUMAN
NA19719,short,HUMAN
NA19729,short,HUMAN
NA19749,short,HUMAN
NA19755,short,HUMAN
NA19771,short,HUMAN
NA19779,short,HUMAN
NA19782,short,HUMAN
NA19789,short,HUMAN
NA19734,short,HUMAN
NA19652,short,HUMAN
NA19661,short,HUMAN
NA19676,short,HUMAN
NA19722,short,HUMAN
NA19725,short,HUMAN
NA19732,short,HUMAN
NA19758,short,HUMAN
NA19774,short,HUMAN
NA19785,short,HUMAN
NA19795,short,HUMAN
NA19651,short,HUMAN
NA19658,short,HUMAN
NA19670,short,HUMAN
NA19720,short,HUMAN
NA19723,short,HUMAN
NA19731,short,HUMAN
NA19756,short,HUMAN
NA19773,short,HUMAN
NA19780,short,HUMAN
NA19783,short,HUMAN
NA19740,short,HUMAN
NA19794,short,HUMAN
NA19735,short,HUMAN
NA19663,short,HUMAN
NA19678,short,HUMAN
NA19681,short,HUMAN
NA19716,short,HUMAN
NA19726,short,HUMAN
NA19746,short,HUMAN
NA19759,short,HUMAN
NA19762,short,HUMAN
NA19776,short,HUMAN
NA19786,short,HUMAN
NA19648,short,HUMAN
NA19654,short,HUMAN
NA19664,short,HUMAN
NA19679,short,HUMAN
NA19682,short,HUMAN
NA19717,short,HUMAN
NA19728,short,HUMAN
NA19747,short,HUMAN
NA19750,short,HUMAN
NA19761,short,HUMAN
NA19770,short,HUMAN
NA19777,short,HUMAN
NA19788,short,HUMAN
NA19741,short,HUMAN
NA19764,short,HUMAN
NA19752,short,HUMAN
NA19792,short,HUMAN
HG02285,short,HUMAN
HG02146,short,HUMAN
HG02272,short,HUMAN
HG02278,short,HUMAN
HG01577,short,HUMAN
HG01917,short,HUMAN
HG01921,short,HUMAN
HG01926,short,HUMAN
HG01936,short,HUMAN
HG01947,short,HUMAN
HG01967,short,HUMAN
HG01970,short,HUMAN
HG01976,short,HUMAN
HG02002,short,HUMAN
HG02301,short,HUMAN
HG01961,short,HUMAN
HG02253,short,HUMAN
HG02275,short,HUMAN
HG02259,short,HUMAN
HG02292,short,HUMAN
HG02286,short,HUMAN
HG01566,short,HUMAN
HG02147,short,HUMAN
HG02277,short,HUMAN
HG02291,short,HUMAN
HG01892,short,HUMAN
HG01932,short,HUMAN
HG01939,short,HUMAN
HG01942,short,HUMAN
HG01951,short,HUMAN
HG01974,short,HUMAN
HG01980,short,HUMAN
HG02090,short,HUMAN
HG01565,short,HUMAN
