sample_name,library,Breed
HG02373,short,HUMAN
HG02355,short,HUMAN
HG02375,short,HUMAN
HG02384,short,HUMAN
HG02390,short,HUMAN
HG02402,short,HUMAN
HG02396,short,HUMAN
HG00851,short,HUMAN
HG00867,short,HUMAN
HG00982,short,HUMAN
HG02410,short,HUMAN
HG02250,short,HUMAN
HG02360,short,HUMAN
HG02380,short,HUMAN
HG01800,short,HUMAN
HG01806,short,HUMAN
HG01808,short,HUMAN
HG01813,short,HUMAN
HG02385,short,HUMAN
HG02392,short,HUMAN
HG02398,short,HUMAN
HG02407,short,HUMAN
HG02165,short,HUMAN
HG02181,short,HUMAN
HG02190,short,HUMAN
HG02394,short,HUMAN
HG02356,short,HUMAN
HG02379,short,HUMAN
HG02391,short,HUMAN
HG02395,short,HUMAN
HG02406,short,HUMAN
HG00759,short,HUMAN
HG00881,short,HUMAN
HG01029,short,HUMAN
HG01046,short,HUMAN
HG01795,short,HUMAN
HG01797,short,HUMAN
HG01802,short,HUMAN
HG01810,short,HUMAN
HG01815,short,HUMAN
HG02153,short,HUMAN
HG02178,short,HUMAN
HG02184,short,HUMAN
HG02186,short,HUMAN
HG00879,short,HUMAN
HG01028,short,HUMAN
HG01801,short,HUMAN
HG01807,short,HUMAN
HG01809,short,HUMAN
HG02151,short,HUMAN
HG02152,short,HUMAN
HG02166,short,HUMAN
HG02182,short,HUMAN
HG02185,short,HUMAN
HG02397,short,HUMAN
HG02351,short,HUMAN
HG02364,short,HUMAN
HG02371,short,HUMAN
HG02382,short,HUMAN
HG02386,short,HUMAN
HG02399,short,HUMAN
HG02409,short,HUMAN
HG02353,short,HUMAN
HG02367,short,HUMAN
HG02374,short,HUMAN
HG02383,short,HUMAN
HG02389,short,HUMAN
HG02401,short,HUMAN
HG00766,short,HUMAN
HG00956,short,HUMAN
HG01031,short,HUMAN
HG01794,short,HUMAN
HG01796,short,HUMAN
HG01798,short,HUMAN
HG01804,short,HUMAN
HG01811,short,HUMAN
HG01816,short,HUMAN
HG02154,short,HUMAN
HG02156,short,HUMAN
HG02179,short,HUMAN
HG02187,short,HUMAN
HG00844,short,HUMAN
HG00978,short,HUMAN
HG02408,short,HUMAN
HG01799,short,HUMAN
HG01805,short,HUMAN
HG01812,short,HUMAN
HG01817,short,HUMAN
HG02155,short,HUMAN
HG02164,short,HUMAN
HG02180,short,HUMAN
HG02188,short,HUMAN
HG00864,short,HUMAN
NA18536,short,HUMAN
NA18549,short,HUMAN
NA18602,short,HUMAN
NA18610,short,HUMAN
NA18616,short,HUMAN
NA18623,short,HUMAN
NA18631,short,HUMAN
NA18636,short,HUMAN
NA18639,short,HUMAN
NA18645,short,HUMAN
NA18531,short,HUMAN
NA18535,short,HUMAN
NA18560,short,HUMAN
NA18565,short,HUMAN
NA18644,short,HUMAN
NA18542,short,HUMAN
NA18547,short,HUMAN
NA18561,short,HUMAN
NA18572,short,HUMAN
NA18603,short,HUMAN
NA18544,short,HUMAN
NA18559,short,HUMAN
NA18596,short,HUMAN
NA18612,short,HUMAN
NA18618,short,HUMAN
NA18625,short,HUMAN
NA18627,short,HUMAN
NA18633,short,HUMAN
NA18641,short,HUMAN
NA18740,short,HUMAN
NA18543,short,HUMAN
NA18557,short,HUMAN
NA18539,short,HUMAN
NA18595,short,HUMAN
NA18606,short,HUMAN
NA18611,short,HUMAN
NA18617,short,HUMAN
NA18624,short,HUMAN
NA18574,short,HUMAN
NA18648,short,HUMAN
NA18632,short,HUMAN
NA18637,short,HUMAN
NA18640,short,HUMAN
NA18647,short,HUMAN
NA18757,short,HUMAN
NA18526,short,HUMAN
NA18552,short,HUMAN
NA18563,short,HUMAN
NA18570,short,HUMAN
NA18577,short,HUMAN
NA18582,short,HUMAN
NA18608,short,HUMAN
NA18538,short,HUMAN
NA18567,short,HUMAN
NA18646,short,HUMAN
NA18550,short,HUMAN
NA18562,short,HUMAN
NA18566,short,HUMAN
NA18573,short,HUMAN
NA18579,short,HUMAN
NA18605,short,HUMAN
NA18530,short,HUMAN
NA18546,short,HUMAN
NA18597,short,HUMAN
NA18613,short,HUMAN
NA18619,short,HUMAN
NA18621,short,HUMAN
NA18626,short,HUMAN
NA18628,short,HUMAN
NA18634,short,HUMAN
NA18642,short,HUMAN
NA18745,short,HUMAN
NA18748,short,HUMAN
NA18548,short,HUMAN
NA18599,short,HUMAN
NA18525,short,HUMAN
NA18615,short,HUMAN
NA18541,short,HUMAN
NA18620,short,HUMAN
NA18622,short,HUMAN
NA18591,short,HUMAN
NA18630,short,HUMAN
NA18635,short,HUMAN
NA18643,short,HUMAN
NA18747,short,HUMAN
NA18749,short,HUMAN
NA18532,short,HUMAN
NA18555,short,HUMAN
NA18564,short,HUMAN
NA18571,short,HUMAN
NA18592,short,HUMAN
NA18609,short,HUMAN
NA18528,short,HUMAN
NA18533,short,HUMAN
NA18553,short,HUMAN
NA18629,short,HUMAN
NA18614,short,HUMAN
NA18537,short,HUMAN
NA18545,short,HUMAN
NA18558,short,HUMAN
NA18593,short,HUMAN
NA18638,short,HUMAN
NA18534,short,HUMAN
HG00446,short,HUMAN
HG00463,short,HUMAN
HG00442,short,HUMAN
HG00449,short,HUMAN
HG00448,short,HUMAN
HG00407,short,HUMAN
HG00436,short,HUMAN
HG00457,short,HUMAN
HG00476,short,HUMAN
HG00531,short,HUMAN
HG00542,short,HUMAN
HG00565,short,HUMAN
HG00584,short,HUMAN
HG00590,short,HUMAN
HG00608,short,HUMAN
HG00625,short,HUMAN
HG00656,short,HUMAN
HG00672,short,HUMAN
HG00684,short,HUMAN
HG00698,short,HUMAN
HG00717,short,HUMAN
HG00728,short,HUMAN
HG00622,short,HUMAN
HG00631,short,HUMAN
HG00674,short,HUMAN
HG00421,short,HUMAN
HG00472,short,HUMAN
HG00479,short,HUMAN
HG00524,short,HUMAN
HG00534,short,HUMAN
HG00557,short,HUMAN
HG00580,short,HUMAN
HG00593,short,HUMAN
HG00595,short,HUMAN
HG00611,short,HUMAN
HG00628,short,HUMAN
HG00650,short,HUMAN
HG00662,short,HUMAN
HG00690,short,HUMAN
HG00701,short,HUMAN
HG00419,short,HUMAN
HG00437,short,HUMAN
HG00458,short,HUMAN
HG00478,short,HUMAN
HG00533,short,HUMAN
HG00543,short,HUMAN
HG00556,short,HUMAN
HG00566,short,HUMAN
HG00592,short,HUMAN
HG00610,short,HUMAN
HG00626,short,HUMAN
HG00410,short,HUMAN
HG00657,short,HUMAN
HG00683,short,HUMAN
HG00689,short,HUMAN
HG00699,short,HUMAN
HG00409,short,HUMAN
HG00675,short,HUMAN
HG00443,short,HUMAN
HG00451,short,HUMAN
HG00445,short,HUMAN
HG00452,short,HUMAN
HG00464,short,HUMAN
HG00403,short,HUMAN
HG00422,short,HUMAN
HG00473,short,HUMAN
HG00500,short,HUMAN
HG00525,short,HUMAN
HG00536,short,HUMAN
HG00559,short,HUMAN
HG00581,short,HUMAN
HG00596,short,HUMAN
HG00613,short,HUMAN
HG00619,short,HUMAN
HG00629,short,HUMAN
HG00651,short,HUMAN
HG00404,short,HUMAN
HG00663,short,HUMAN
HG00692,short,HUMAN
HG00704,short,HUMAN
HG00707,short,HUMAN
HG00406,short,HUMAN
HG00428,short,HUMAN
HG00475,short,HUMAN
HG00530,short,HUMAN
HG00537,short,HUMAN
HG00560,short,HUMAN
HG00583,short,HUMAN
HG00589,short,HUMAN
HG00607,short,HUMAN
HG00614,short,HUMAN
HG00620,short,HUMAN
HG00634,short,HUMAN
HG00653,short,HUMAN
HG00598,short,HUMAN
HG00654,short,HUMAN
HG00671,short,HUMAN
HG00693,short,HUMAN
HG00705,short,HUMAN
HG00708,short,HUMAN
HG00599,short,HUMAN
HG00729,short,HUMAN
HG00623,short,HUMAN
HG00632,short,HUMAN
HG00513,short,HUMAN
