sample_name,library,Breed
NA18966,short,HUMAN
NA18990,short,HUMAN
NA18995,short,HUMAN
NA18998,short,HUMAN
NA19003,short,HUMAN
NA19056,short,HUMAN
NA19063,short,HUMAN
NA19068,short,HUMAN
NA19074,short,HUMAN
NA19079,short,HUMAN
NA18982,short,HUMAN
NA18984,short,HUMAN
NA19004,short,HUMAN
NA19011,short,HUMAN
NA19089,short,HUMAN
NA18945,short,HUMAN
NA18956,short,HUMAN
NA18965,short,HUMAN
NA18968,short,HUMAN
NA18972,short,HUMAN
NA18974,short,HUMAN
NA19005,short,HUMAN
NA18946,short,HUMAN
NA18957,short,HUMAN
NA18978,short,HUMAN
NA18992,short,HUMAN
NA19000,short,HUMAN
NA19009,short,HUMAN
NA19059,short,HUMAN
NA19065,short,HUMAN
NA19076,short,HUMAN
NA19081,short,HUMAN
NA19083,short,HUMAN
NA19084,short,HUMAN
NA19086,short,HUMAN
NA18986,short,HUMAN
NA18941,short,HUMAN
NA18954,short,HUMAN
NA18977,short,HUMAN
NA19091,short,HUMAN
NA18991,short,HUMAN
NA18997,short,HUMAN
NA18999,short,HUMAN
NA19007,short,HUMAN
NA19057,short,HUMAN
NA19064,short,HUMAN
NA19070,short,HUMAN
NA19075,short,HUMAN
NA19080,short,HUMAN
NA18942,short,HUMAN
NA18948,short,HUMAN
NA18951,short,HUMAN
NA19085,short,HUMAN
NA18960,short,HUMAN
NA18970,short,HUMAN
NA18976,short,HUMAN
NA18983,short,HUMAN
NA18985,short,HUMAN
NA19090,short,HUMAN
NA18940,short,HUMAN
NA18947,short,HUMAN
NA18949,short,HUMAN
NA18959,short,HUMAN
NA18969,short,HUMAN
NA18975,short,HUMAN
NA18962,short,HUMAN
NA18979,short,HUMAN
NA18993,short,HUMAN
NA19001,short,HUMAN
NA19010,short,HUMAN
NA19054,short,HUMAN
NA19058,short,HUMAN
NA19060,short,HUMAN
NA19066,short,HUMAN
NA19077,short,HUMAN
NA19082,short,HUMAN
NA19087,short,HUMAN
NA18988,short,HUMAN
NA18963,short,HUMAN
NA18987,short,HUMAN
NA18994,short,HUMAN
NA19002,short,HUMAN
NA19012,short,HUMAN
NA19055,short,HUMAN
NA19062,short,HUMAN
NA19067,short,HUMAN
NA19072,short,HUMAN
NA19078,short,HUMAN
NA19088,short,HUMAN
NA18943,short,HUMAN
NA18952,short,HUMAN
NA18961,short,HUMAN
NA18971,short,HUMAN
NA18980,short,HUMAN
NA18950,short,HUMAN
NA18989,short,HUMAN
NA19006,short,HUMAN
NA18944,short,HUMAN
NA18953,short,HUMAN
NA18964,short,HUMAN
NA18967,short,HUMAN
NA18973,short,HUMAN
NA18981,short,HUMAN
NA18939,short,HUMAN
HG02031,short,HUMAN
HG02060,short,HUMAN
HG02067,short,HUMAN
HG02136,short,HUMAN
HG02017,short,HUMAN
HG02029,short,HUMAN
HG02069,short,HUMAN
HG02072,short,HUMAN
HG02082,short,HUMAN
HG02081,short,HUMAN
HG01841,short,HUMAN
HG01840,short,HUMAN
HG01848,short,HUMAN
HG01855,short,HUMAN
HG01863,short,HUMAN
HG01868,short,HUMAN
HG01870,short,HUMAN
HG02121,short,HUMAN
HG02048,short,HUMAN
HG02140,short,HUMAN
HG02122,short,HUMAN
HG02035,short,HUMAN
HG02040,short,HUMAN
HG02131,short,HUMAN
HG02032,short,HUMAN
HG02513,short,HUMAN
HG02050,short,HUMAN
HG02522,short,HUMAN
HG02020,short,HUMAN
HG02023,short,HUMAN
HG02058,short,HUMAN
HG02075,short,HUMAN
HG02084,short,HUMAN
HG01598,short,HUMAN
HG01843,short,HUMAN
HG01845,short,HUMAN
HG01850,short,HUMAN
HG02116,short,HUMAN
HG02512,short,HUMAN
HG01851,short,HUMAN
HG01858,short,HUMAN
HG01860,short,HUMAN
HG01865,short,HUMAN
HG01872,short,HUMAN
HG02086,short,HUMAN
HG02016,short,HUMAN
HG02028,short,HUMAN
HG02073,short,HUMAN
HG02076,short,HUMAN
HG02085,short,HUMAN
HG01597,short,HUMAN
HG01842,short,HUMAN
HG01849,short,HUMAN
HG01857,short,HUMAN
HG01859,short,HUMAN
HG01864,short,HUMAN
HG01871,short,HUMAN
HG02049,short,HUMAN
HG02142,short,HUMAN
HG02141,short,HUMAN
HG02128,short,HUMAN
HG02113,short,HUMAN
HG02127,short,HUMAN
HG02047,short,HUMAN
HG02130,short,HUMAN
HG02521,short,HUMAN
HG02019,short,HUMAN
HG02026,short,HUMAN
HG02057,short,HUMAN
HG02079,short,HUMAN
HG02134,short,HUMAN
HG01599,short,HUMAN
HG01844,short,HUMAN
HG01846,short,HUMAN
HG02061,short,HUMAN
HG02064,short,HUMAN
HG02137,short,HUMAN
HG01852,short,HUMAN
HG01861,short,HUMAN
HG01866,short,HUMAN
HG01873,short,HUMAN
HG02087,short,HUMAN
HG02138,short,HUMAN
HG02025,short,HUMAN
HG02070,short,HUMAN
HG02078,short,HUMAN
HG02133,short,HUMAN
HG01595,short,HUMAN
HG01600,short,HUMAN
HG01847,short,HUMAN
HG01853,short,HUMAN
HG01862,short,HUMAN
HG01867,short,HUMAN
HG01869,short,HUMAN
HG01874,short,HUMAN
HG01878,short,HUMAN
HG02088,short,HUMAN
HG02139,short,HUMAN
HG01596,short,HUMAN
