sample_name,library,Breed
NA12718,short,HUMAN
NA12775,short,HUMAN
NA12842,short,HUMAN
NA07037,short,HUMAN
NA11829,short,HUMAN
NA11918,short,HUMAN
NA11994,short,HUMAN
NA12004,short,HUMAN
NA11932,short,HUMAN
NA12144,short,HUMAN
NA12249,short,HUMAN
NA12750,short,HUMAN
NA12763,short,HUMAN
NA12812,short,HUMAN
NA12874,short,HUMAN
NA11892,short,HUMAN
NA12273,short,HUMAN
NA12282,short,HUMAN
NA12342,short,HUMAN
NA12778,short,HUMAN
NA12889,short,HUMAN
NA06986,short,HUMAN
NA12748,short,HUMAN
NA12777,short,HUMAN
NA12843,short,HUMAN
NA07357,short,HUMAN
NA11831,short,HUMAN
NA11840,short,HUMAN
NA11920,short,HUMAN
NA12006,short,HUMAN
NA12046,short,HUMAN
NA12155,short,HUMAN
NA12414,short,HUMAN
NA12716,short,HUMAN
NA12760,short,HUMAN
NA12814,short,HUMAN
NA06985,short,HUMAN
NA07051,short,HUMAN
NA07347,short,HUMAN
NA11830,short,HUMAN
NA11832,short,HUMAN
NA11919,short,HUMAN
NA12005,short,HUMAN
NA11933,short,HUMAN
NA12154,short,HUMAN
NA12287,short,HUMAN
NA12489,short,HUMAN
NA12751,short,HUMAN
NA07056,short,HUMAN
NA12813,short,HUMAN
NA12878,short,HUMAN
NA06984,short,HUMAN
NA11930,short,HUMAN
NA12286,short,HUMAN
NA12348,short,HUMAN
NA12399,short,HUMAN
NA11893,short,HUMAN
NA12283,short,HUMAN
NA12347,short,HUMAN
NA12827,short,HUMAN
NA12890,short,HUMAN
NA06994,short,HUMAN
NA12829,short,HUMAN
NA10847,short,HUMAN
NA11881,short,HUMAN
NA11931,short,HUMAN
NA11995,short,HUMAN
NA12044,short,HUMAN
NA12156,short,HUMAN
NA12717,short,HUMAN
NA12761,short,HUMAN
NA12815,short,HUMAN
NA12872,short,HUMAN
NA07000,short,HUMAN
NA10851,short,HUMAN
NA11894,short,HUMAN
NA11992,short,HUMAN
NA12003,short,HUMAN
NA07048,short,HUMAN
NA12043,short,HUMAN
NA12045,short,HUMAN
NA12234,short,HUMAN
NA12749,short,HUMAN
NA12762,short,HUMAN
NA12776,short,HUMAN
NA12828,short,HUMAN
NA12873,short,HUMAN
NA06989,short,HUMAN
NA12058,short,HUMAN
NA12340,short,HUMAN
NA12383,short,HUMAN
NA12400,short,HUMAN
NA11843,short,HUMAN
NA12272,short,HUMAN
NA12275,short,HUMAN
NA12341,short,HUMAN
NA12413,short,HUMAN
NA12830,short,HUMAN
NA12546,short,HUMAN
HG00267,short,HUMAN
HG00306,short,HUMAN
HG00319,short,HUMAN
HG00328,short,HUMAN
HG00336,short,HUMAN
HG00343,short,HUMAN
HG00350,short,HUMAN
HG00357,short,HUMAN
HG00360,short,HUMAN
HG00366,short,HUMAN
HG00373,short,HUMAN
HG00177,short,HUMAN
HG00185,short,HUMAN
HG00190,short,HUMAN
HG00269,short,HUMAN
HG00309,short,HUMAN
HG00313,short,HUMAN
HG00321,short,HUMAN
HG00338,short,HUMAN
HG00345,short,HUMAN
HG00353,short,HUMAN
HG00362,short,HUMAN
HG00368,short,HUMAN
HG00371,short,HUMAN
HG00376,short,HUMAN
HG00308,short,HUMAN
HG00320,short,HUMAN
HG00335,short,HUMAN
HG00337,short,HUMAN
HG00379,short,HUMAN
HG00344,short,HUMAN
HG00351,short,HUMAN
HG00361,short,HUMAN
HG00367,short,HUMAN
HG00375,short,HUMAN
HG00179,short,HUMAN
HG00181,short,HUMAN
HG00187,short,HUMAN
HG00304,short,HUMAN
HG00275,short,HUMAN
HG00284,short,HUMAN
HG00326,short,HUMAN
HG00332,short,HUMAN
HG00173,short,HUMAN
HG00178,short,HUMAN
HG00180,short,HUMAN
HG00186,short,HUMAN
HG00381,short,HUMAN
HG00384,short,HUMAN
HG00380,short,HUMAN
HG00382,short,HUMAN
HG00277,short,HUMAN
HG00310,short,HUMAN
HG00330,short,HUMAN
HG00341,short,HUMAN
HG00276,short,HUMAN
HG00285,short,HUMAN
HG00329,short,HUMAN
HG00334,short,HUMAN
HG00383,short,HUMAN
HG00271,short,HUMAN
HG00272,short,HUMAN
HG00311,short,HUMAN
HG00315,short,HUMAN
HG00323,short,HUMAN
HG00339,short,HUMAN
HG00346,short,HUMAN
HG00355,short,HUMAN
HG00364,short,HUMAN
HG00369,short,HUMAN
HG00372,short,HUMAN
HG00266,short,HUMAN
HG00273,short,HUMAN
HG00318,short,HUMAN
HG00327,short,HUMAN
HG00342,short,HUMAN
HG00349,short,HUMAN
HG00356,short,HUMAN
HG00358,short,HUMAN
HG00365,short,HUMAN
HG00174,short,HUMAN
HG00182,short,HUMAN
HG00188,short,HUMAN
HG00176,short,HUMAN
HG00183,short,HUMAN
HG00189,short,HUMAN
HG00378,short,HUMAN
HG00288,short,HUMAN
HG00278,short,HUMAN
HG00281,short,HUMAN
HG00324,short,HUMAN
HG00290,short,HUMAN
HG00274,short,HUMAN
HG00280,short,HUMAN
HG00282,short,HUMAN
HG00325,short,HUMAN
HG00331,short,HUMAN
HG00171,short,HUMAN
HG00268,short,HUMAN
