sample_name,library,Breed
NA20845,short,HUMAN
NA20853,short,HUMAN
NA20862,short,HUMAN
NA20877,short,HUMAN
NA20885,short,HUMAN
NA20887,short,HUMAN
NA20894,short,HUMAN
NA20900,short,HUMAN
NA20910,short,HUMAN
NA21090,short,HUMAN
NA21100,short,HUMAN
NA21102,short,HUMAN
NA21107,short,HUMAN
NA21115,short,HUMAN
NA21122,short,HUMAN
NA21130,short,HUMAN
NA21137,short,HUMAN
NA20905,short,HUMAN
NA21129,short,HUMAN
NA20850,short,HUMAN
NA20856,short,HUMAN
NA20869,short,HUMAN
NA20874,short,HUMAN
NA20881,short,HUMAN
NA20889,short,HUMAN
NA20896,short,HUMAN
NA20902,short,HUMAN
NA21086,short,HUMAN
NA21092,short,HUMAN
NA21097,short,HUMAN
NA21104,short,HUMAN
NA21109,short,HUMAN
NA21117,short,HUMAN
NA21125,short,HUMAN
NA21135,short,HUMAN
NA21142,short,HUMAN
NA20864,short,HUMAN
NA21093,short,HUMAN
NA21114,short,HUMAN
NA20846,short,HUMAN
NA20849,short,HUMAN
NA20854,short,HUMAN
NA20866,short,HUMAN
NA20878,short,HUMAN
NA20886,short,HUMAN
NA20888,short,HUMAN
NA20892,short,HUMAN
NA20895,short,HUMAN
NA20901,short,HUMAN
NA20911,short,HUMAN
NA21091,short,HUMAN
NA21094,short,HUMAN
NA21101,short,HUMAN
NA21103,short,HUMAN
NA21108,short,HUMAN
NA21116,short,HUMAN
NA21123,short,HUMAN
NA21133,short,HUMAN
NA21141,short,HUMAN
NA20863,short,HUMAN
NA21087,short,HUMAN
NA21095,short,HUMAN
NA20851,short,HUMAN
NA20858,short,HUMAN
NA20859,short,HUMAN
NA20870,short,HUMAN
NA20875,short,HUMAN
NA20882,short,HUMAN
NA20890,short,HUMAN
NA20897,short,HUMAN
NA20903,short,HUMAN
NA20906,short,HUMAN
NA21088,short,HUMAN
NA21098,short,HUMAN
NA21105,short,HUMAN
NA21110,short,HUMAN
NA21112,short,HUMAN
NA21118,short,HUMAN
NA21127,short,HUMAN
NA21143,short,HUMAN
NA20867,short,HUMAN
NA21124,short,HUMAN
NA20852,short,HUMAN
NA20861,short,HUMAN
NA20872,short,HUMAN
NA20876,short,HUMAN
NA20884,short,HUMAN
NA20891,short,HUMAN
NA20899,short,HUMAN
NA20904,short,HUMAN
NA20908,short,HUMAN
NA21089,short,HUMAN
NA21099,short,HUMAN
NA21106,short,HUMAN
NA21111,short,HUMAN
NA21113,short,HUMAN
NA21119,short,HUMAN
NA21120,short,HUMAN
NA21128,short,HUMAN
NA21144,short,HUMAN
NA20868,short,HUMAN
NA21126,short,HUMAN
NA20847,short,HUMAN
HG03790,short,HUMAN
HG03782,short,HUMAN
HG03870,short,HUMAN
HG04025,short,HUMAN
HG04118,short,HUMAN
HG03717,short,HUMAN
HG03770,short,HUMAN
HG03772,short,HUMAN
HG03862,short,HUMAN
HG03976,short,HUMAN
HG04002,short,HUMAN
HG03969,short,HUMAN
HG04054,short,HUMAN
HG04059,short,HUMAN
HG04098,short,HUMAN
HG03780,short,HUMAN
HG04212,short,HUMAN
HG04219,short,HUMAN
HG03868,short,HUMAN
HG03779,short,HUMAN
HG03861,short,HUMAN
HG03963,short,HUMAN
HG04014,short,HUMAN
HG04022,short,HUMAN
HG03977,short,HUMAN
HG03742,short,HUMAN
HG03792,short,HUMAN
HG03873,short,HUMAN
HG03867,short,HUMAN
HG04020,short,HUMAN
HG03713,short,HUMAN
HG03730,short,HUMAN
HG03781,short,HUMAN
HG03784,short,HUMAN
HG03787,short,HUMAN
HG03789,short,HUMAN
HG03978,short,HUMAN
HG04026,short,HUMAN
HG03774,short,HUMAN
HG04060,short,HUMAN
HG04080,short,HUMAN
HG04209,short,HUMAN
HG04200,short,HUMAN
HG03722,short,HUMAN
HG03882,short,HUMAN
HG03786,short,HUMAN
HG04214,short,HUMAN
HG04235,short,HUMAN
HG03875,short,HUMAN
HG03967,short,HUMAN
HG03874,short,HUMAN
HG03973,short,HUMAN
HG04017,short,HUMAN
HG04023,short,HUMAN
HG04061,short,HUMAN
HG04076,short,HUMAN
HG03778,short,HUMAN
HG04222,short,HUMAN
HG04225,short,HUMAN
HG04238,short,HUMAN
HG03871,short,HUMAN
HG03718,short,HUMAN
HG03777,short,HUMAN
HG03863,short,HUMAN
HG03960,short,HUMAN
HG03720,short,HUMAN
HG04015,short,HUMAN
HG04063,short,HUMAN
HG04018,short,HUMAN
HG03785,short,HUMAN
HG03872,short,HUMAN
HG03968,short,HUMAN
HG04019,short,HUMAN
HG04093,short,HUMAN
HG03716,short,HUMAN
HG03727,short,HUMAN
HG03731,short,HUMAN
HG03775,short,HUMAN
HG03788,short,HUMAN
HG03864,short,HUMAN
HG03971,short,HUMAN
HG04001,short,HUMAN
HG04090,short,HUMAN
HG03714,short,HUMAN
HG04094,short,HUMAN
HG03729,short,HUMAN
HG04198,short,HUMAN
HG03771,short,HUMAN
HG04206,short,HUMAN
HG03773,short,HUMAN
HG04202,short,HUMAN
HG03869,short,HUMAN
HG04216,short,HUMAN
HG03974,short,HUMAN
HG03965,short,HUMAN
HG03866,short,HUMAN
HG04056,short,HUMAN
HG04062,short,HUMAN
HG04096,short,HUMAN
HG04211,short,HUMAN
HG04239,short,HUMAN
HG04070,short,HUMAN
