sample_name,library,Breed
HG03006,short,HUMAN
HG03796,short,HUMAN
HG03815,short,HUMAN
HG03833,short,HUMAN
HG03940,short,HUMAN
HG04140,short,HUMAN
HG03600,short,HUMAN
HG03920,short,HUMAN
HG04171,short,HUMAN
HG04194,short,HUMAN
HG03926,short,HUMAN
HG03808,short,HUMAN
HG03817,short,HUMAN
HG03928,short,HUMAN
HG04159,short,HUMAN
HG03615,short,HUMAN
HG03803,short,HUMAN
HG03824,short,HUMAN
HG03914,short,HUMAN
HG04156,short,HUMAN
HG04185,short,HUMAN
HG04173,short,HUMAN
HG04183,short,HUMAN
HG03007,short,HUMAN
HG03800,short,HUMAN
HG03604,short,HUMAN
HG04152,short,HUMAN
HG04161,short,HUMAN
HG04177,short,HUMAN
HG03814,short,HUMAN
HG03832,short,HUMAN
HG04155,short,HUMAN
HG04158,short,HUMAN
HG04141,short,HUMAN
HG03603,short,HUMAN
HG04144,short,HUMAN
HG04153,short,HUMAN
HG04176,short,HUMAN
HG03805,short,HUMAN
HG03594,short,HUMAN
HG03012,short,HUMAN
HG03910,short,HUMAN
HG03585,short,HUMAN
HG03934,short,HUMAN
HG04186,short,HUMAN
HG03607,short,HUMAN
HG03925,short,HUMAN
HG03902,short,HUMAN
HG03911,short,HUMAN
HG03931,short,HUMAN
HG03593,short,HUMAN
HG03616,short,HUMAN
HG03823,short,HUMAN
HG03830,short,HUMAN
HG03913,short,HUMAN
HG04131,short,HUMAN
HG04182,short,HUMAN
HG03821,short,HUMAN
HG03793,short,HUMAN
HG03922,short,HUMAN
HG03611,short,HUMAN
HG04162,short,HUMAN
HG04188,short,HUMAN
HG03802,short,HUMAN
HG03826,short,HUMAN
HG03829,short,HUMAN
HG03941,short,HUMAN
HG04134,short,HUMAN
HG04180,short,HUMAN
HG03917,short,HUMAN
HG04164,short,HUMAN
HG04189,short,HUMAN
HG04195,short,HUMAN
HG03908,short,HUMAN
HG03595,short,HUMAN
HG03905,short,HUMAN
HG03916,short,HUMAN
HG03937,short,HUMAN
HG04146,short,HUMAN
HG03598,short,HUMAN
HG03907,short,HUMAN
HG03809,short,HUMAN
HG03812,short,HUMAN
HG03919,short,HUMAN
HG03589,short,HUMAN
HG03009,short,HUMAN
HG03235,short,HUMAN
HG03668,short,HUMAN
HG03708,short,HUMAN
HG02649,short,HUMAN
HG02699,short,HUMAN
HG03229,short,HUMAN
HG03625,short,HUMAN
HG03705,short,HUMAN
HG03636,short,HUMAN
HG02780,short,HUMAN
HG03631,short,HUMAN
HG03663,short,HUMAN
HG02490,short,HUMAN
HG02655,short,HUMAN
HG02685,short,HUMAN
HG02688,short,HUMAN
HG02727,short,HUMAN
HG02790,short,HUMAN
HG03490,short,HUMAN
HG03619,short,HUMAN
HG03016,short,HUMAN
HG02493,short,HUMAN
HG02652,short,HUMAN
HG02682,short,HUMAN
HG02736,short,HUMAN
HG02792,short,HUMAN
HG03649,short,HUMAN
HG03762,short,HUMAN
HG03767,short,HUMAN
HG01589,short,HUMAN
HG03019,short,HUMAN
HG03488,short,HUMAN
HG03015,short,HUMAN
HG03709,short,HUMAN
