sample_name,library,Breed
HG02321,short,HUMAN
HG01881,short,HUMAN
HG01895,short,HUMAN
HG01959,short,HUMAN
HG02258,short,HUMAN
HG02451,short,HUMAN
HG01887,short,HUMAN
HG02055,short,HUMAN
HG02280,short,HUMAN
HG01884,short,HUMAN
HG01897,short,HUMAN
HG01960,short,HUMAN
HG02145,short,HUMAN
HG02316,short,HUMAN
HG01888,short,HUMAN
HG01916,short,HUMAN
HG01891,short,HUMAN
HG01987,short,HUMAN
HG02257,short,HUMAN
HG02011,short,HUMAN
NA19702,short,HUMAN
NA19836,short,HUMAN
NA19918,short,HUMAN
NA20129,short,HUMAN
NA20358,short,HUMAN
NA19828,short,HUMAN
NA19902,short,HUMAN
NA20128,short,HUMAN
NA20279,short,HUMAN
NA19705,short,HUMAN
NA19919,short,HUMAN
NA19924,short,HUMAN
NA19983,short,HUMAN
HG02945,short,HUMAN
HG02966,short,HUMAN
HG03101,short,HUMAN
HG03113,short,HUMAN
HG03128,short,HUMAN
HG03191,short,HUMAN
HG03197,short,HUMAN
HG03272,short,HUMAN
HG03308,short,HUMAN
HG03310,short,HUMAN
HG03373,short,HUMAN
HG03519,short,HUMAN
HG02954,short,HUMAN
HG02975,short,HUMAN
HG02980,short,HUMAN
HG03119,short,HUMAN
HG03134,short,HUMAN
HG03299,short,HUMAN
HG03305,short,HUMAN
HG03314,short,HUMAN
HG03350,short,HUMAN
HG02948,short,HUMAN
HG02972,short,HUMAN
HG03110,short,HUMAN
HG03116,short,HUMAN
HG03131,short,HUMAN
HG03200,short,HUMAN
HG03296,short,HUMAN
HG03309,short,HUMAN
HG03312,short,HUMAN
HG03344,short,HUMAN
HG03374,short,HUMAN
HG03522,short,HUMAN
HG02964,short,HUMAN
HG02978,short,HUMAN
HG03122,short,HUMAN
HG03137,short,HUMAN
HG03164,short,HUMAN
HG03302,short,HUMAN
HG03306,short,HUMAN
HG03368,short,HUMAN
HG02924,short,HUMAN
HG02965,short,HUMAN
HG03161,short,HUMAN
HG03170,short,HUMAN
HG03269,short,HUMAN
HG03307,short,HUMAN
HG03516,short,HUMAN
HG03125,short,HUMAN
HG03371,short,HUMAN
HG02569,short,HUMAN
HG02584,short,HUMAN
HG02590,short,HUMAN
HG02615,short,HUMAN
HG02668,short,HUMAN
HG02764,short,HUMAN
HG02809,short,HUMAN
HG02815,short,HUMAN
HG02853,short,HUMAN
HG02886,short,HUMAN
HG02892,short,HUMAN
HG03035,short,HUMAN
HG03047,short,HUMAN
HG03242,short,HUMAN
HG03249,short,HUMAN
HG02463,short,HUMAN
HG02575,short,HUMAN
HG02625,short,HUMAN
HG02636,short,HUMAN
HG02773,short,HUMAN
HG02821,short,HUMAN
HG02862,short,HUMAN
HG03029,short,HUMAN
HG03251,short,HUMAN
HG02572,short,HUMAN
HG03540,short,HUMAN
HG02596,short,HUMAN
HG02622,short,HUMAN
HG02677,short,HUMAN
HG02680,short,HUMAN
HG02770,short,HUMAN
HG02812,short,HUMAN
HG02856,short,HUMAN
HG02889,short,HUMAN
HG02897,short,HUMAN
HG03026,short,HUMAN
HG03050,short,HUMAN
HG03250,short,HUMAN
HG02466,short,HUMAN
HG02630,short,HUMAN
HG02644,short,HUMAN
HG02704,short,HUMAN
HG02723,short,HUMAN
HG02761,short,HUMAN
HG02800,short,HUMAN
HG02838,short,HUMAN
HG02869,short,HUMAN
HG02880,short,HUMAN
HG02984,short,HUMAN
HG03033,short,HUMAN
HG03260,short,HUMAN
HG02563,short,HUMAN
HG02612,short,HUMAN
HG02647,short,HUMAN
HG02717,short,HUMAN
HG02762,short,HUMAN
HG02806,short,HUMAN
HG02841,short,HUMAN
HG02871,short,HUMAN
HG02883,short,HUMAN
HG03034,short,HUMAN
HG03041,short,HUMAN
HG03248,short,HUMAN
HG02587,short,HUMAN
HG02818,short,HUMAN
HG03456,short,HUMAN
HG03579,short,HUMAN
HG03056,short,HUMAN
HG03438,short,HUMAN
HG03584,short,HUMAN
HG03582,short,HUMAN
HG03453,short,HUMAN
HG03574,short,HUMAN
HG03098,short,HUMAN
HG03454,short,HUMAN
HG03480,short,HUMAN
HG03576,short,HUMAN
HG03065,short,HUMAN
HG03486,short,HUMAN
NA18506,short,HUMAN
NA18854,short,HUMAN
NA18869,short,HUMAN
NA18913,short,HUMAN
NA19094,short,HUMAN
NA19120,short,HUMAN
NA19132,short,HUMAN
NA19142,short,HUMAN
NA19150,short,HUMAN
NA19174,short,HUMAN
NA19177,short,HUMAN
NA19203,short,HUMAN
NA19249,short,HUMAN
NA18518,short,HUMAN
NA18857,short,HUMAN
NA18860,short,HUMAN
NA18875,short,HUMAN
NA18925,short,HUMAN
NA19100,short,HUMAN
NA19123,short,HUMAN
NA19140,short,HUMAN
NA19154,short,HUMAN
NA19191,short,HUMAN
NA19208,short,HUMAN
NA19215,short,HUMAN
NA19226,short,HUMAN
NA18515,short,HUMAN
NA18855,short,HUMAN
NA18859,short,HUMAN
NA18872,short,HUMAN
NA18914,short,HUMAN
NA19097,short,HUMAN
NA19122,short,HUMAN
NA19139,short,HUMAN
NA19151,short,HUMAN
NA19186,short,HUMAN
NA19205,short,HUMAN
NA19258,short,HUMAN
NA18484,short,HUMAN
NA18487,short,HUMAN
NA18500,short,HUMAN
NA18521,short,HUMAN
NA18862,short,HUMAN
NA18906,short,HUMAN
NA18930,short,HUMAN
NA19101,short,HUMAN
NA19109,short,HUMAN
NA19127,short,HUMAN
NA19145,short,HUMAN
NA19161,short,HUMAN
NA19199,short,HUMAN
NA19211,short,HUMAN
NA19221,short,HUMAN
NA19237,short,HUMAN
NA18497,short,HUMAN
NA18503,short,HUMAN
NA18852,short,HUMAN
NA18863,short,HUMAN
NA18911,short,HUMAN
NA18935,short,HUMAN
NA19103,short,HUMAN
NA19115,short,HUMAN
NA19128,short,HUMAN
NA19148,short,HUMAN
NA19173,short,HUMAN
NA19176,short,HUMAN
NA19202,short,HUMAN
NA19224,short,HUMAN
NA18485,short,HUMAN
NA19240,short,HUMAN
HG01135,short,HUMAN
HG01261,short,HUMAN
HG01279,short,HUMAN
HG01358,short,HUMAN
HG01385,short,HUMAN
HG01433,short,HUMAN
HG01463,short,HUMAN
HG01141,short,HUMAN
HG01274,short,HUMAN
HG01346,short,HUMAN
HG01349,short,HUMAN
HG01367,short,HUMAN
HG01490,short,HUMAN
HG01138,short,HUMAN
HG01273,short,HUMAN
HG01343,short,HUMAN
HG01347,short,HUMAN
HG01361,short,HUMAN
HG01466,short,HUMAN
HG01150,short,HUMAN
HG01252,short,HUMAN
HG01276,short,HUMAN
HG01376,short,HUMAN
HG01439,short,HUMAN
HG01493,short,HUMAN
HG01499,short,HUMAN
HG01126,short,HUMAN
HG01255,short,HUMAN
HG01258,short,HUMAN
HG01278,short,HUMAN
HG01355,short,HUMAN
HG01379,short,HUMAN
HG01391,short,HUMAN
HG01457,short,HUMAN
HG01496,short,HUMAN
HG01552,short,HUMAN
HG01114,short,HUMAN
HG01352,short,HUMAN
NA19662,short,HUMAN
NA19680,short,HUMAN
NA19685,short,HUMAN
NA19721,short,HUMAN
NA19748,short,HUMAN
NA19778,short,HUMAN
NA19796,short,HUMAN
NA19656,short,HUMAN
NA19671,short,HUMAN
NA19727,short,HUMAN
NA19757,short,HUMAN
NA19784,short,HUMAN
NA19653,short,HUMAN
NA19665,short,HUMAN
NA19686,short,HUMAN
NA19718,short,HUMAN
NA19724,short,HUMAN
NA19751,short,HUMAN
NA19781,short,HUMAN
NA19659,short,HUMAN
NA19675,short,HUMAN
NA19730,short,HUMAN
NA19760,short,HUMAN
NA19772,short,HUMAN
NA19787,short,HUMAN
NA19660,short,HUMAN
NA19677,short,HUMAN
NA19683,short,HUMAN
NA19733,short,HUMAN
NA19763,short,HUMAN
NA19775,short,HUMAN
NA19790,short,HUMAN
NA19650,short,HUMAN
HG01922,short,HUMAN
HG01940,short,HUMAN
HG01978,short,HUMAN
HG01993,short,HUMAN
HG02273,short,HUMAN
HG02293,short,HUMAN
HG02302,short,HUMAN
HG02287,short,HUMAN
HG01928,short,HUMAN
HG01946,short,HUMAN
HG01949,short,HUMAN
HG01969,short,HUMAN
HG01983,short,HUMAN
HG02004,short,HUMAN
HG02148,short,HUMAN
HG01567,short,HUMAN
HG01925,short,HUMAN
HG01943,short,HUMAN
HG01981,short,HUMAN
HG01998,short,HUMAN
HG02091,short,HUMAN
HG02279,short,HUMAN
HG02300,short,HUMAN
HG02303,short,HUMAN
HG01579,short,HUMAN
HG01934,short,HUMAN
HG01952,short,HUMAN
HG01972,short,HUMAN
HG01984,short,HUMAN
HG01898,short,HUMAN
HG01919,short,HUMAN
HG01937,short,HUMAN
HG01955,short,HUMAN
HG01975,short,HUMAN
HG02261,short,HUMAN
HG01573,short,HUMAN
HG02106,short,HUMAN
HG01053,short,HUMAN
HG01084,short,HUMAN
HG01172,short,HUMAN
HG01178,short,HUMAN
HG01206,short,HUMAN
HG00552,short,HUMAN
HG00639,short,HUMAN
HG00738,short,HUMAN
HG01062,short,HUMAN
HG01096,short,HUMAN
HG01103,short,HUMAN
HG01109,short,HUMAN
HG01189,short,HUMAN
HG01249,short,HUMAN
HG00735,short,HUMAN
HG01056,short,HUMAN
HG01087,short,HUMAN
HG01175,short,HUMAN
HG01184,short,HUMAN
HG01243,short,HUMAN
HG00555,short,HUMAN
HG00642,short,HUMAN
HG00741,short,HUMAN
HG01068,short,HUMAN
HG01074,short,HUMAN
HG01099,short,HUMAN
HG01106,short,HUMAN
HG01192,short,HUMAN
HG01050,short,HUMAN
HG01071,short,HUMAN
HG01081,short,HUMAN
HG01100,short,HUMAN
HG01169,short,HUMAN
HG01199,short,HUMAN
HG00733,short,HUMAN
HG00408,short,HUMAN
HG00444,short,HUMAN
HG00501,short,HUMAN
HG00532,short,HUMAN
HG00538,short,HUMAN
HG00561,short,HUMAN
HG00594,short,HUMAN
HG00621,short,HUMAN
HG00635,short,HUMAN
HG00655,short,HUMAN
HG00706,short,HUMAN
HG00420,short,HUMAN
HG00427,short,HUMAN
HG00450,short,HUMAN
HG00474,short,HUMAN
HG00577,short,HUMAN
HG00579,short,HUMAN
HG00609,short,HUMAN
HG00664,short,HUMAN
HG00685,short,HUMAN
HG00700,short,HUMAN
HG00418,short,HUMAN
HG00447,short,HUMAN
HG00465,short,HUMAN
HG00502,short,HUMAN
HG00544,short,HUMAN
HG00567,short,HUMAN
HG00597,short,HUMAN
HG00636,short,HUMAN
HG00658,short,HUMAN
HG00673,short,HUMAN
HG00709,short,HUMAN
HG00423,short,HUMAN
HG00429,short,HUMAN
HG00453,short,HUMAN
HG00477,short,HUMAN
HG00578,short,HUMAN
HG00582,short,HUMAN
HG00585,short,HUMAN
HG00612,short,HUMAN
HG00627,short,HUMAN
HG00691,short,HUMAN
HG00702,short,HUMAN
HG00405,short,HUMAN
HG00438,short,HUMAN
HG00459,short,HUMAN
HG00480,short,HUMAN
HG00526,short,HUMAN
HG00535,short,HUMAN
HG00558,short,HUMAN
HG00591,short,HUMAN
HG00615,short,HUMAN
HG00630,short,HUMAN
HG00652,short,HUMAN
HG00694,short,HUMAN
HG00703,short,HUMAN
HG00514,short,HUMAN
HG00512,short,HUMAN
HG02523,short,HUMAN
HG02027,short,HUMAN
HG02068,short,HUMAN
HG02129,short,HUMAN
HG02525,short,HUMAN
HG02514,short,HUMAN
HG02524,short,HUMAN
HG02074,short,HUMAN
HG02080,short,HUMAN
HG02135,short,HUMAN
HG02030,short,HUMAN
HG02071,short,HUMAN
HG02132,short,HUMAN
HG02526,short,HUMAN
HG02056,short,HUMAN
HG02077,short,HUMAN
HG02083,short,HUMAN
