sample_name,library,population
NA19648,SHORT,MXL
NA19649,SHORT,MXL
NA19650,SHORT,MXL
NA19651,SHORT,MXL
NA19652,SHORT,MXL
NA19653,SHORT,MXL
NA19654,SHORT,MXL
NA19655,SHORT,MXL
NA19656,SHORT,MXL
NA19657,SHORT,MXL
NA19658,SHORT,MXL
NA19659,SHORT,MXL
NA19660,SHORT,MXL
NA19661,SHORT,MXL
NA19662,SHORT,MXL
NA19663,SHORT,MXL
NA19664,SHORT,MXL
NA19665,SHORT,MXL
NA19669,SHORT,MXL
NA19670,SHORT,MXL
NA19671,SHORT,MXL
NA19675,SHORT,MXL
NA19676,SHORT,MXL
NA19677,SHORT,MXL
NA19678,SHORT,MXL
NA19679,SHORT,MXL
NA19680,SHORT,MXL
NA19681,SHORT,MXL
NA19682,SHORT,MXL
NA19683,SHORT,MXL
NA19684,SHORT,MXL
NA19685,SHORT,MXL
NA19686,SHORT,MXL
NA19716,SHORT,MXL
NA19717,SHORT,MXL
NA19718,SHORT,MXL
NA19719,SHORT,MXL
NA19720,SHORT,MXL
NA19721,SHORT,MXL
NA19722,SHORT,MXL
NA19723,SHORT,MXL
NA19724,SHORT,MXL
NA19725,SHORT,MXL
NA19726,SHORT,MXL
NA19727,SHORT,MXL
NA19728,SHORT,MXL
NA19729,SHORT,MXL
NA19730,SHORT,MXL
NA19731,SHORT,MXL
NA19732,SHORT,MXL
NA19733,SHORT,MXL
NA19734,SHORT,MXL
NA19735,SHORT,MXL
NA19740,SHORT,MXL
NA19741,SHORT,MXL
NA19746,SHORT,MXL
NA19747,SHORT,MXL
NA19748,SHORT,MXL
NA19749,SHORT,MXL
NA19750,SHORT,MXL
NA19751,SHORT,MXL
NA19752,SHORT,MXL
NA19755,SHORT,MXL
NA19756,SHORT,MXL
NA19757,SHORT,MXL
NA19758,SHORT,MXL
NA19759,SHORT,MXL
NA19760,SHORT,MXL
NA19761,SHORT,MXL
NA19762,SHORT,MXL
NA19763,SHORT,MXL
NA19764,SHORT,MXL
NA19770,SHORT,MXL
NA19771,SHORT,MXL
NA19772,SHORT,MXL
NA19773,SHORT,MXL
NA19774,SHORT,MXL
NA19775,SHORT,MXL
NA19776,SHORT,MXL
NA19777,SHORT,MXL
NA19778,SHORT,MXL
NA19779,SHORT,MXL
NA19780,SHORT,MXL
NA19781,SHORT,MXL
NA19782,SHORT,MXL
NA19783,SHORT,MXL
NA19784,SHORT,MXL
NA19785,SHORT,MXL
NA19786,SHORT,MXL
NA19787,SHORT,MXL
NA19788,SHORT,MXL
NA19789,SHORT,MXL
NA19790,SHORT,MXL
NA19792,SHORT,MXL
NA19794,SHORT,MXL
NA19795,SHORT,MXL
NA19796,SHORT,MXL
HG01565,SHORT,PEL
HG01566,SHORT,PEL
HG01567,SHORT,PEL
HG01571,SHORT,PEL
HG01572,SHORT,PEL
HG01573,SHORT,PEL
HG01577,SHORT,PEL
HG01578,SHORT,PEL
HG01579,SHORT,PEL
HG01892,SHORT,PEL
HG01893,SHORT,PEL
HG01898,SHORT,PEL
HG01917,SHORT,PEL
HG01918,SHORT,PEL
HG01919,SHORT,PEL
HG01920,SHORT,PEL
HG01921,SHORT,PEL
HG01922,SHORT,PEL
HG01923,SHORT,PEL
HG01924,SHORT,PEL
