sample_name,library,population
NA18525,SHORT,CHB
NA18526,SHORT,CHB
NA18528,SHORT,CHB
NA18530,SHORT,CHB
NA18531,SHORT,CHB
NA18532,SHORT,CHB
NA18533,SHORT,CHB
NA18534,SHORT,CHB
NA18535,SHORT,CHB
NA18536,SHORT,CHB
NA18537,SHORT,CHB
NA18538,SHORT,CHB
NA18539,SHORT,CHB
NA18541,SHORT,CHB
NA18542,SHORT,CHB
NA18543,SHORT,CHB
NA18544,SHORT,CHB
NA18545,SHORT,CHB
NA18546,SHORT,CHB
NA18547,SHORT,CHB
NA18548,SHORT,CHB
NA18549,SHORT,CHB
NA18550,SHORT,CHB
NA18552,SHORT,CHB
NA18553,SHORT,CHB
NA18555,SHORT,CHB
NA18557,SHORT,CHB
NA18558,SHORT,CHB
NA18559,SHORT,CHB
NA18560,SHORT,CHB
NA18561,SHORT,CHB
NA18562,SHORT,CHB
NA18563,SHORT,CHB
NA18564,SHORT,CHB
NA18565,SHORT,CHB
NA18566,SHORT,CHB
NA18567,SHORT,CHB
NA18570,SHORT,CHB
NA18571,SHORT,CHB
NA18572,SHORT,CHB
NA18573,SHORT,CHB
NA18574,SHORT,CHB
NA18577,SHORT,CHB
NA18579,SHORT,CHB
NA18582,SHORT,CHB
NA18591,SHORT,CHB
NA18592,SHORT,CHB
NA18593,SHORT,CHB
NA18595,SHORT,CHB
NA18596,SHORT,CHB
NA18597,SHORT,CHB
NA18599,SHORT,CHB
NA18602,SHORT,CHB
NA18603,SHORT,CHB
NA18605,SHORT,CHB
NA18606,SHORT,CHB
NA18608,SHORT,CHB
NA18609,SHORT,CHB
NA18610,SHORT,CHB
NA18611,SHORT,CHB
NA18612,SHORT,CHB
NA18613,SHORT,CHB
NA18614,SHORT,CHB
NA18615,SHORT,CHB
NA18616,SHORT,CHB
NA18617,SHORT,CHB
NA18618,SHORT,CHB
NA18619,SHORT,CHB
NA18620,SHORT,CHB
NA18621,SHORT,CHB
NA18622,SHORT,CHB
NA18623,SHORT,CHB
NA18624,SHORT,CHB
NA18625,SHORT,CHB
NA18626,SHORT,CHB
NA18627,SHORT,CHB
NA18628,SHORT,CHB
NA18629,SHORT,CHB
NA18630,SHORT,CHB
NA18631,SHORT,CHB
NA18632,SHORT,CHB
NA18633,SHORT,CHB
NA18634,SHORT,CHB
NA18635,SHORT,CHB
NA18636,SHORT,CHB
NA18637,SHORT,CHB
NA18638,SHORT,CHB
NA18639,SHORT,CHB
NA18640,SHORT,CHB
NA18641,SHORT,CHB
NA18642,SHORT,CHB
NA18643,SHORT,CHB
NA18644,SHORT,CHB
NA18645,SHORT,CHB
NA18646,SHORT,CHB
NA18647,SHORT,CHB
NA18648,SHORT,CHB
NA18740,SHORT,CHB
NA18745,SHORT,CHB
NA18747,SHORT,CHB
NA18748,SHORT,CHB
NA18749,SHORT,CHB
NA18757,SHORT,CHB
HG00403,SHORT,CHS
HG00404,SHORT,CHS
HG00405,SHORT,CHS
HG00406,SHORT,CHS
HG00407,SHORT,CHS
HG00408,SHORT,CHS
HG00409,SHORT,CHS
HG00410,SHORT,CHS
HG00418,SHORT,CHS
HG00419,SHORT,CHS
HG00420,SHORT,CHS
HG00421,SHORT,CHS
HG00422,SHORT,CHS
HG00423,SHORT,CHS
HG00427,SHORT,CHS
HG00428,SHORT,CHS
HG00429,SHORT,CHS
HG00436,SHORT,CHS
HG00437,SHORT,CHS
HG00438,SHORT,CHS
HG00442,SHORT,CHS
HG00443,SHORT,CHS
HG00444,SHORT,CHS
HG00445,SHORT,CHS
HG00446,SHORT,CHS
HG00447,SHORT,CHS
HG00448,SHORT,CHS
HG00449,SHORT,CHS
HG00450,SHORT,CHS
HG00451,SHORT,CHS
HG00452,SHORT,CHS
HG00453,SHORT,CHS
HG00457,SHORT,CHS
HG00458,SHORT,CHS
HG00459,SHORT,CHS
HG00463,SHORT,CHS
HG00464,SHORT,CHS
HG00465,SHORT,CHS
HG00472,SHORT,CHS
HG00473,SHORT,CHS
HG00474,SHORT,CHS
HG00475,SHORT,CHS
HG00476,SHORT,CHS
HG00477,SHORT,CHS
HG00478,SHORT,CHS
HG00479,SHORT,CHS
HG00480,SHORT,CHS
HG00500,SHORT,CHS
HG00501,SHORT,CHS
HG00502,SHORT,CHS
HG00512,SHORT,CHS
HG00513,SHORT,CHS
HG00514,SHORT,CHS
HG00524,SHORT,CHS
HG00525,SHORT,CHS
HG00526,SHORT,CHS
HG00530,SHORT,CHS
HG00531,SHORT,CHS
HG00532,SHORT,CHS
HG00533,SHORT,CHS
HG00534,SHORT,CHS
HG00535,SHORT,CHS
HG00536,SHORT,CHS
HG00537,SHORT,CHS
HG00538,SHORT,CHS
HG00542,SHORT,CHS
HG00543,SHORT,CHS
HG00544,SHORT,CHS
HG00556,SHORT,CHS
HG00557,SHORT,CHS
HG00558,SHORT,CHS
HG00559,SHORT,CHS
HG00560,SHORT,CHS
HG00561,SHORT,CHS
HG00565,SHORT,CHS
HG00566,SHORT,CHS
HG00567,SHORT,CHS
HG00577,SHORT,CHS
HG00578,SHORT,CHS
HG00579,SHORT,CHS
HG00580,SHORT,CHS
HG00581,SHORT,CHS
HG00582,SHORT,CHS
HG00583,SHORT,CHS
HG00584,SHORT,CHS
HG00585,SHORT,CHS
HG00589,SHORT,CHS
HG00590,SHORT,CHS
HG00591,SHORT,CHS
HG00592,SHORT,CHS
HG00593,SHORT,CHS
HG00594,SHORT,CHS
HG00595,SHORT,CHS
HG00596,SHORT,CHS
HG00597,SHORT,CHS
HG00598,SHORT,CHS
HG00599,SHORT,CHS
HG00607,SHORT,CHS
HG00608,SHORT,CHS
HG00609,SHORT,CHS
HG00610,SHORT,CHS
HG00611,SHORT,CHS
HG00612,SHORT,CHS
HG00613,SHORT,CHS
HG00614,SHORT,CHS
HG00615,SHORT,CHS
HG00619,SHORT,CHS
HG00620,SHORT,CHS
HG00621,SHORT,CHS
HG00622,SHORT,CHS
HG00623,SHORT,CHS
HG00625,SHORT,CHS
HG00626,SHORT,CHS
HG00627,SHORT,CHS
HG00628,SHORT,CHS
HG00629,SHORT,CHS
HG00630,SHORT,CHS
HG00631,SHORT,CHS
HG00632,SHORT,CHS
HG00634,SHORT,CHS
HG00635,SHORT,CHS
HG00636,SHORT,CHS
HG00650,SHORT,CHS
HG00651,SHORT,CHS
HG00652,SHORT,CHS
HG00653,SHORT,CHS
HG00654,SHORT,CHS
HG00655,SHORT,CHS
HG00656,SHORT,CHS
HG00657,SHORT,CHS
HG00658,SHORT,CHS
HG00662,SHORT,CHS
HG00663,SHORT,CHS
HG00664,SHORT,CHS
HG00671,SHORT,CHS
HG00672,SHORT,CHS
HG00673,SHORT,CHS
HG00674,SHORT,CHS
HG00675,SHORT,CHS
HG00683,SHORT,CHS
HG00684,SHORT,CHS
HG00685,SHORT,CHS
HG00689,SHORT,CHS
HG00690,SHORT,CHS
HG00692,SHORT,CHS
HG00693,SHORT,CHS
HG00694,SHORT,CHS
HG00698,SHORT,CHS
HG00699,SHORT,CHS
HG00700,SHORT,CHS
HG00701,SHORT,CHS
HG00702,SHORT,CHS
HG00703,SHORT,CHS
HG00704,SHORT,CHS
HG00705,SHORT,CHS
HG00706,SHORT,CHS
HG00707,SHORT,CHS
HG00708,SHORT,CHS
HG00709,SHORT,CHS
HG00717,SHORT,CHS
HG00728,SHORT,CHS
HG00729,SHORT,CHS
NA18939,SHORT,JPT
NA18940,SHORT,JPT
NA18941,SHORT,JPT
NA18942,SHORT,JPT
NA18943,SHORT,JPT
NA18944,SHORT,JPT
NA18945,SHORT,JPT
NA18946,SHORT,JPT
NA18947,SHORT,JPT
NA18948,SHORT,JPT
NA18949,SHORT,JPT
NA18950,SHORT,JPT
NA18951,SHORT,JPT
NA18952,SHORT,JPT
NA18953,SHORT,JPT
NA18954,SHORT,JPT
NA18956,SHORT,JPT
NA18957,SHORT,JPT
NA18959,SHORT,JPT
NA18960,SHORT,JPT
NA18961,SHORT,JPT
NA18962,SHORT,JPT
NA18963,SHORT,JPT
NA18964,SHORT,JPT
NA18965,SHORT,JPT
NA18966,SHORT,JPT
NA18967,SHORT,JPT
NA18968,SHORT,JPT
NA18969,SHORT,JPT
NA18970,SHORT,JPT
NA18971,SHORT,JPT
NA18972,SHORT,JPT
NA18973,SHORT,JPT
NA18974,SHORT,JPT
NA18975,SHORT,JPT
NA18976,SHORT,JPT
NA18977,SHORT,JPT
NA18978,SHORT,JPT
NA18979,SHORT,JPT
NA18980,SHORT,JPT
NA18981,SHORT,JPT
NA18982,SHORT,JPT
NA18983,SHORT,JPT
NA18984,SHORT,JPT
NA18985,SHORT,JPT
NA18986,SHORT,JPT
NA18987,SHORT,JPT
NA18988,SHORT,JPT
NA18989,SHORT,JPT
NA18990,SHORT,JPT
NA18991,SHORT,JPT
NA18992,SHORT,JPT
NA18993,SHORT,JPT
NA18994,SHORT,JPT
NA18995,SHORT,JPT
NA18997,SHORT,JPT
NA18998,SHORT,JPT
NA18999,SHORT,JPT
NA19000,SHORT,JPT
NA19001,SHORT,JPT
NA19002,SHORT,JPT
NA19003,SHORT,JPT
NA19004,SHORT,JPT
NA19005,SHORT,JPT
NA19006,SHORT,JPT
NA19007,SHORT,JPT
NA19009,SHORT,JPT
NA19010,SHORT,JPT
NA19011,SHORT,JPT
NA19012,SHORT,JPT
NA19054,SHORT,JPT
NA19055,SHORT,JPT
NA19056,SHORT,JPT
NA19057,SHORT,JPT
NA19058,SHORT,JPT
NA19059,SHORT,JPT
NA19060,SHORT,JPT
NA19062,SHORT,JPT
NA19063,SHORT,JPT
NA19064,SHORT,JPT
NA19065,SHORT,JPT
NA19066,SHORT,JPT
NA19067,SHORT,JPT
