sample_name,library,population
HG03007,SHORT,BEB
HG03006,SHORT,BEB
HG03009,SHORT,BEB
HG03008,SHORT,BEB
HG03617,SHORT,BEB
HG03585,SHORT,BEB
HG03600,SHORT,BEB
HG03605,SHORT,BEB
HG03787,SHORT,ITU
HG03794,SHORT,BEB
HG03799,SHORT,BEB
HG03802,SHORT,BEB
HG03807,SHORT,BEB
HG03732,SHORT,ITU
HG03744,SHORT,STU
HG03756,SHORT,STU
HG03869,SHORT,ITU
HG03871,SHORT,ITU
HG03888,SHORT,STU
HG03890,SHORT,STU
HG03895,SHORT,STU
HG03643,SHORT,STU
HG03589,SHORT,BEB
HG03679,SHORT,STU
HG03596,SHORT,BEB
HG03681,SHORT,STU
HG03713,SHORT,ITU
HG03718,SHORT,ITU
HG03720,SHORT,ITU
HG03838,SHORT,STU
HG03857,SHORT,STU
HG03864,SHORT,ITU
HG03770,SHORT,ITU
HG03775,SHORT,ITU
HG03604,SHORT,BEB
HG03782,SHORT,ITU
HG03611,SHORT,BEB
HG03686,SHORT,STU
HG03616,SHORT,BEB
HG03693,SHORT,STU
HG03779,SHORT,ITU
HG03698,SHORT,STU
HG03781,SHORT,ITU
HG03786,SHORT,ITU
HG03814,SHORT,BEB
HG03793,SHORT,BEB
HG03821,SHORT,BEB
HG03798,SHORT,BEB
HG03826,SHORT,BEB
HG03801,SHORT,BEB
HG03833,SHORT,BEB
HG03832,SHORT,BEB
HG04076,SHORT,ITU
HG03837,SHORT,STU
HG04090,SHORT,ITU
HG03844,SHORT,STU
HG04115,SHORT,STU
HG03849,SHORT,STU
HG04122,SHORT,STU
HG03851,SHORT,STU
HG04127,SHORT,STU
HG03856,SHORT,STU
HG04134,SHORT,BEB
HG03697,SHORT,STU
HG04204,SHORT,STU
HG04209,SHORT,ITU
HG04211,SHORT,ITU
HG03717,SHORT,ITU
HG04216,SHORT,ITU
HG03755,SHORT,STU
HG04228,SHORT,STU
HG04235,SHORT,ITU
HG03774,SHORT,ITU
HG03908,SHORT,BEB
HG03910,SHORT,BEB
HG03642,SHORT,STU
HG03915,SHORT,BEB
HG03922,SHORT,BEB
HG03863,SHORT,ITU
HG04141,SHORT,BEB
HG03868,SHORT,ITU
HG04146,SHORT,BEB
HG03870,SHORT,ITU
HG04153,SHORT,BEB
HG03875,SHORT,ITU
HG04158,SHORT,BEB
HG03882,SHORT,ITU
HG04160,SHORT,BEB
HG03887,SHORT,STU
HG03953,SHORT,STU
HG03673,SHORT,STU
HG03960,SHORT,ITU
HG03680,SHORT,STU
HG03965,SHORT,ITU
HG03685,SHORT,STU
HG03692,SHORT,STU
HG03977,SHORT,ITU
HG03729,SHORT,ITU
HG03989,SHORT,STU
HG03731,SHORT,ITU
HG03991,SHORT,STU
HG03736,SHORT,STU
HG04002,SHORT,ITU
HG03743,SHORT,STU
HG04014,SHORT,ITU
HG03750,SHORT,STU
HG04019,SHORT,ITU
HG03806,SHORT,BEB
HG04026,SHORT,ITU
HG04033,SHORT,STU
HG03825,SHORT,BEB
HG04177,SHORT,BEB
HG04063,SHORT,ITU
HG04184,SHORT,BEB
HG04070,SHORT,ITU
HG04189,SHORT,BEB
HG04075,SHORT,STU
HG04191,SHORT,BEB
HG04094,SHORT,ITU
HG03927,SHORT,BEB
HG04099,SHORT,STU
HG03934,SHORT,BEB
HG04107,SHORT,STU
HG03941,SHORT,BEB
HG04038,SHORT,STU
HG03990,SHORT,STU
HG03995,SHORT,STU
HG04001,SHORT,ITU
HG04006,SHORT,STU
HG04018,SHORT,ITU
HG04020,SHORT,ITU
HG03894,SHORT,STU
HG03899,SHORT,STU
HG03902,SHORT,BEB
HG03907,SHORT,BEB
HG03914,SHORT,BEB
HG04195,SHORT,BEB
HG04210,SHORT,STU
HG04215,SHORT,STU
HG04164,SHORT,BEB
HG04171,SHORT,BEB
HG04176,SHORT,BEB
HG04183,SHORT,BEB
HG04188,SHORT,BEB
HG04133,SHORT,BEB
HG04140,SHORT,BEB
HG04152,SHORT,BEB
HG04157,SHORT,BEB
HG03919,SHORT,BEB
HG03926,SHORT,BEB
HG03940,SHORT,BEB
HG03945,SHORT,STU
HG03969,SHORT,ITU
HG03971,SHORT,ITU
HG03976,SHORT,ITU
HG04025,SHORT,ITU
HG04056,SHORT,ITU
HG04222,SHORT,ITU
HG04227,SHORT,STU
HG04239,SHORT,ITU
HG03012,SHORT,BEB
HG03606,SHORT,BEB
HG03593,SHORT,BEB
HG03598,SHORT,BEB
HG03714,SHORT,ITU
HG03719,SHORT,ITU
HG03721,SHORT,ITU
HG03644,SHORT,STU
HG03595,SHORT,BEB
HG03788,SHORT,ITU
HG03603,SHORT,BEB
HG03790,SHORT,ITU
HG03615,SHORT,BEB
HG03795,SHORT,BEB
HG03803,SHORT,BEB
HG03757,SHORT,STU
HG03771,SHORT,ITU
HG03834,SHORT,BEB
HG03846,SHORT,STU
HG03858,SHORT,STU
HG03808,SHORT,BEB
HG03815,SHORT,BEB
HG03682,SHORT,STU
HG03687,SHORT,STU
HG03694,SHORT,STU
HG03733,SHORT,STU
HG03738,SHORT,STU
HG03740,SHORT,STU
HG03745,SHORT,STU
HG03752,SHORT,STU
HG03872,SHORT,ITU
HG03884,SHORT,STU
HG03812,SHORT,BEB
HG04200,SHORT,ITU
HG03817,SHORT,BEB
HG04212,SHORT,ITU
HG03824,SHORT,BEB
HG04217,SHORT,ITU
HG03829,SHORT,BEB
HG03896,SHORT,STU
HG03831,SHORT,BEB
HG03904,SHORT,BEB
HG03836,SHORT,STU
HG03909,SHORT,BEB
HG03911,SHORT,BEB
HG03916,SHORT,BEB
HG03711,SHORT,STU
HG03992,SHORT,STU
HG03716,SHORT,ITU
HG04003,SHORT,STU
HG04015,SHORT,ITU
HG03730,SHORT,ITU
