sample_name,library,population
NA06984,SHORT,CEU
NA06985,SHORT,CEU
NA06986,SHORT,CEU
NA06989,SHORT,CEU
NA06991,SHORT,CEU
NA06993,SHORT,CEU
NA06994,SHORT,CEU
NA06995,SHORT,CEU
NA06997,SHORT,CEU
NA07000,SHORT,CEU
NA07014,SHORT,CEU
NA07019,SHORT,CEU
NA07022,SHORT,CEU
NA07029,SHORT,CEU
NA07031,SHORT,CEU
NA07034,SHORT,CEU
NA07037,SHORT,CEU
NA07045,SHORT,CEU
NA07048,SHORT,CEU
NA07051,SHORT,CEU
NA07055,SHORT,CEU
NA07056,SHORT,CEU
NA07345,SHORT,CEU
NA07346,SHORT,CEU
NA07347,SHORT,CEU
NA07348,SHORT,CEU
NA07349,SHORT,CEU
NA07357,SHORT,CEU
NA07435,SHORT,CEU
NA10830,SHORT,CEU
NA10831,SHORT,CEU
NA10835,SHORT,CEU
NA10836,SHORT,CEU
NA10837,SHORT,CEU
NA10838,SHORT,CEU
NA10839,SHORT,CEU
NA10840,SHORT,CEU
NA10842,SHORT,CEU
NA10843,SHORT,CEU
NA10845,SHORT,CEU
NA10846,SHORT,CEU
NA10847,SHORT,CEU
NA10851,SHORT,CEU
NA10852,SHORT,CEU
NA10854,SHORT,CEU
NA10855,SHORT,CEU
NA10856,SHORT,CEU
NA10857,SHORT,CEU
NA10859,SHORT,CEU
NA10860,SHORT,CEU
NA10861,SHORT,CEU
NA10863,SHORT,CEU
NA10864,SHORT,CEU
NA10865,SHORT,CEU
NA11829,SHORT,CEU
NA11830,SHORT,CEU
NA11831,SHORT,CEU
NA11832,SHORT,CEU
NA11839,SHORT,CEU
NA11840,SHORT,CEU
NA11843,SHORT,CEU
NA11881,SHORT,CEU
NA11882,SHORT,CEU
NA11891,SHORT,CEU
NA11892,SHORT,CEU
NA11893,SHORT,CEU
NA11894,SHORT,CEU
NA11917,SHORT,CEU
NA11918,SHORT,CEU
NA11919,SHORT,CEU
NA11920,SHORT,CEU
NA11930,SHORT,CEU
NA11931,SHORT,CEU
NA11932,SHORT,CEU
NA11933,SHORT,CEU
NA11992,SHORT,CEU
NA11993,SHORT,CEU
NA11994,SHORT,CEU
NA11995,SHORT,CEU
NA12003,SHORT,CEU
NA12004,SHORT,CEU
NA12005,SHORT,CEU
NA12006,SHORT,CEU
NA12043,SHORT,CEU
NA12044,SHORT,CEU
NA12045,SHORT,CEU
NA12046,SHORT,CEU
NA12056,SHORT,CEU
NA12057,SHORT,CEU
NA12058,SHORT,CEU
NA12144,SHORT,CEU
NA12145,SHORT,CEU
NA12146,SHORT,CEU
NA12154,SHORT,CEU
NA12155,SHORT,CEU
NA12156,SHORT,CEU
NA12234,SHORT,CEU
NA12236,SHORT,CEU
NA12239,SHORT,CEU
NA12248,SHORT,CEU
NA12249,SHORT,CEU
NA12264,SHORT,CEU
NA12272,SHORT,CEU
NA12273,SHORT,CEU
