sample_name,cluster
HG02461,Africa.1
HG02462,Africa.1
HG02463,Africa.1
HG02464,Africa.1
HG02465,Africa.1
HG02466,Africa.1
HG02561,Africa.1
HG02562,Africa.1
HG02563,Africa.1
HG02568,Africa.1
HG02569,Africa.1
HG02570,Africa.1
HG02571,Africa.1
HG02572,Africa.1
HG02573,Africa.1
HG02574,Africa.1
HG02575,Africa.1
HG02582,Africa.1
HG02583,Africa.1
HG02584,Africa.1
HG02585,Africa.1
HG02586,Africa.1
HG02587,Africa.1
HG02588,Africa.1
HG02589,Africa.1
HG02590,Africa.1
HG02594,Africa.1
HG02595,Africa.1
HG02596,Africa.1
HG02610,Africa.1
HG02611,Africa.1
HG02612,Africa.1
HG02613,Africa.1
HG02614,Africa.1
HG02615,Africa.1
HG02620,Africa.1
HG02621,Africa.1
HG02622,Africa.1
HG02623,Africa.1
HG02624,Africa.1
HG02625,Africa.1
HG02628,Africa.1
HG02629,Africa.1
HG02630,Africa.1
HG02634,Africa.1
HG02635,Africa.1
HG02636,Africa.1
HG02642,Africa.1
HG02643,Africa.1
HG02644,Africa.1
HG02645,Africa.1
HG02646,Africa.1
HG02647,Africa.1
HG02666,Africa.1
HG02667,Africa.1
HG02668,Africa.1
HG02675,Africa.1
HG02676,Africa.1
HG02677,Africa.1
HG02678,Africa.1
HG02679,Africa.1
HG02680,Africa.1
HG02702,Africa.1
HG02703,Africa.1
HG02704,Africa.1
HG02715,Africa.1
HG02716,Africa.1
HG02717,Africa.1
HG02721,Africa.1
HG02722,Africa.1
HG02723,Africa.1
HG02756,Africa.1
HG02757,Africa.1
HG02759,Africa.1
HG02760,Africa.1
HG02761,Africa.1
HG02762,Africa.1
HG02763,Africa.1
HG02764,Africa.1
HG02768,Africa.1
HG02769,Africa.1
HG02770,Africa.1
HG02771,Africa.1
HG02772,Africa.1
HG02773,Africa.1
HG02798,Africa.1
HG02799,Africa.1
HG02800,Africa.1
HG02804,Africa.1
HG02805,Africa.1
HG02806,Africa.1
HG02807,Africa.1
HG02808,Africa.1
HG02809,Africa.1
HG02810,Africa.1
HG02811,Africa.1
HG02812,Africa.1
HG02813,Africa.1
HG02814,Africa.1
HG02815,Africa.1
HG02816,Africa.1
HG02817,Africa.1
HG02819,Africa.1
HG02820,Africa.1
HG02836,Africa.1
HG02837,Africa.1
HG02838,Africa.1
HG02839,Africa.1
HG02840,Africa.1
HG02841,Africa.1
HG02851,Africa.1
HG02852,Africa.1
HG02853,Africa.1
HG02854,Africa.1
HG02855,Africa.1
HG02856,Africa.1
HG02860,Africa.1
HG02861,Africa.1
HG02869,Africa.1
HG02870,Africa.1
HG02871,Africa.1
HG02878,Africa.1
HG02879,Africa.1
HG02880,Africa.1
HG02881,Africa.1
HG02882,Africa.1
HG02883,Africa.1
HG02884,Africa.1
HG02885,Africa.1
HG02886,Africa.1
HG02887,Africa.1
HG02888,Africa.1
HG02889,Africa.1
HG02890,Africa.1
HG02891,Africa.1
HG02892,Africa.1
HG02895,Africa.1
HG02896,Africa.1
HG02897,Africa.1
HG02982,Africa.1
HG02983,Africa.1
HG02984,Africa.1
HG03024,Africa.1
HG03025,Africa.1
HG03026,Africa.1
HG03027,Africa.1
HG03028,Africa.1
HG03029,Africa.1
HG03033,Africa.1
HG03034,Africa.1
HG03035,Africa.1
HG03039,Africa.1
HG03040,Africa.1
HG03041,Africa.1
HG03045,Africa.1
HG03046,Africa.1
HG03047,Africa.1
HG03048,Africa.1
HG03049,Africa.1
HG03050,Africa.1
HG03240,Africa.1
HG03241,Africa.1
HG03242,Africa.1
HG03246,Africa.1
HG03247,Africa.1
HG03248,Africa.1
HG03249,Africa.1
HG03250,Africa.1
HG03251,Africa.1
HG03258,Africa.1
