Sample name,Biosample ID,Universal_ID,Population elastic IDs,Population name,Population description,Superpopulation name,Population latitude,Population longitude,Color
HG00271,SAME123417,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00276,SAME123424,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00288,SAME1839246,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00290,SAME1839057,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00308,SAME124161,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00310,SAME124338,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00315,SAME124335,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00327,SAME123791,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00334,SAME123981,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00339,SAME123991,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00341,SAME124922,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00346,SAME125264,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00353,SAME125120,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00358,SAME125126,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00360,SAME124539,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
